,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
6562,n16569,28.0,12,"Graham, Stephen (I)",12,Drama,0,1,0,0,1,2,0,2,0,0,1,2,0,0,0,0,0,3,0,0,0.14285714285714285,1873.876048906415,0.10227352630962147,4.185480446394132e-05,4.174424096335759e-09
6563,n2921,93.0,16,"Mercier, Paul (I)",11,Sci-Fi,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,1,1,0,0,0,0.7038229376257545,624.1330342578499,0.11426364302922384,5.155423934988887e-05,1.2518495329218688e-05
6564,n10591,13.0,6,"Montana, Nikki",12,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.7142857142857143,30571.60671543322,0.09750075413096182,3.913879791741104e-05,1.1302106003643813e-09
6565,n10438,33.0,15,"Irwin, Steve (II)",15,Family,0,0,0,0,9,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,669.6203440639721,0.09695104677579723,5.338132974962902e-05,2.9702007620063187e-10
6566,n16398,53.0,17,"Cosiansi, Hugo",11,Romance,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,0,1,0,0,0.39871794871794874,3972.589976454703,0.07444689463380096,4.6298744777111995e-05,6.314225366532434e-14
6567,n10301,27.0,12,"Azmi, Shabana",12,Drama,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,6,0,0,0.3333333333333333,6595.7014667730655,0.10372122321396736,5.254846772796054e-05,2.974817049931443e-09
6568,n2599,868.0,240,"Bedi, Rakesh",31,Drama,0,0,1,0,0,0,0,6,0,0,0,2,0,0,5,0,0,6,2,0,0.4046649389115142,187898.31059323627,0.13156446689028756,0.0004118193191646375,0.001219236535015991
6569,n11712,61.0,26,"Meinhardt, Thomas",16,Crime,0,0,4,1,0,1,1,2,0,0,0,2,0,0,1,0,0,3,0,0,0.22150537634408604,4457.232248897806,0.07018799638081834,3.459509434558608e-05,5.414711641844605e-16
6570,n11563,17.0,7,"Aurelius, Marcus",13,Sci-Fi,0,0,1,0,0,1,5,0,0,0,1,2,1,0,0,0,0,2,0,0,0.2222222222222222,736.4486856065672,0.0985444731760747,2.6853549191344394e-05,6.978468982936061e-08
6571,n7562,160.0,55,"Newman, Richard (I)",46,Animation,0,1,1,1,0,0,6,2,11,5,6,6,0,0,3,1,1,0,0,0,0.4823088455772114,2504.618200365088,0.10162327076249476,3.617756690111756e-05,3.5299028573223917e-06
6572,n7055,25.0,12,"Vian, Bobo",10,Drama,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0.5494505494505495,1909.459924763543,0.10521239594196259,3.041887337529334e-05,1.4131975513417456e-09
6573,n1839,135.0,50,"Santamarina, Eduardo",12,Romance,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,2,1,0,0.4524312896405919,769.2634055012164,0.09705617402715838,3.348400338302595e-05,1.889979503425818e-06
6574,n9978,187.0,83,"Braccini, Denis",17,Drama,2,0,1,0,0,0,0,4,0,0,0,2,0,0,1,0,0,5,0,0,0.03571428571428571,30469.32866209377,0.11641510314882378,0.0001212315942697997,2.2757441683718293e-07
6575,n1607,27.0,11,"Angel, Laura",75,Adult,1,0,0,0,4,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0.31676767676767675,48.23987372585887,0.09213957662461067,1.377234287493347e-05,2.1236146370812515e-07
6576,n7041,70.0,24,"Khanna, Twinkle",13,Romance,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,2,0,0.5587121212121212,14121.8066663304,0.10203675989149752,6.3235348020144e-05,3.648222951553869e-07
6577,n5664,2.0,1,"Kuhn, Drazen",14,Drama,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0.625,0.0,0.09362930220581925,1.1322276886428092e-05,1.9122728225690587e-10
6578,n215,94.0,25,"Esumi, Makiko",12,Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0.7142857142857143,2085.6336235598,0.10865288844621514,8.889873301561937e-05,6.256010038741591e-09
